Naive ['C', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'K', 'M', 'B', 'C'] 660.1799999999997 37.83
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'H', 'I', 'G', 'C'] 698.5899999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'D', 'J', 'H', 'I', 'G', 'C'] 706.86 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'K', 'M', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 703.6399999999999 0.43
ACO ['C', 'B', 'M', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'E', 'A', 'K', 'C'] 675.84 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.44
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.45
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.45
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.44
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.45
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.43
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 692.7699999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.44
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'D', 'J', 'C'] 711.3 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 663.9699999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'G', 'I', 'H', 'C'] 698.57 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'H', 'I', 'D', 'J', 'G', 'C'] 717.2899999999998 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'L', 'F', 'J', 'D', 'I', 'H', 'G', 'C'] 694.7999999999998 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'D', 'J', 'G', 'I', 'H', 'C'] 703.2099999999999 0.42
ACO ['C', 'B', 'M', 'A', 'K', 'E', 'F', 'L', 'J', 'D', 'H', 'I', 'G', 'C'] 696.56 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'F', 'L', 'J', 'D', 'C'] 717.0999999999999 0.43
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'G', 'H', 'I', 'D', 'J', 'L', 'F', 'C'] 718.4399999999999 0.42
ACO ['C', 'B', 'M', 'K', 'A', 'E', 'F', 'L', 'J', 'D', 'I', 'H', 'G', 'C'] 660.18 0.42
